Gene	Lenth	Location1	Location2	GC
RP11-93B14.5	3705	chr20:61294371	chr20:61298076	0.61
LINC00686	5456	chr20:61326376	chr20:61331832	0.58
NTSR1	53934	chr20:61340189	chr20:61394123	0.55
RP11-93B14.4	2781	chr20:61363918	chr20:61366699	0.56
LINC00659	1284	chr20:61405480	chr20:61406764	0.57
MRGBP	4140	chr20:61427805	chr20:61431945	0.61
OGFR-AS1	4960	chr20:61431979	chr20:61436939	0.60
OGFR	9165	chr20:61436187	chr20:61445352	0.63
COL9A3	24915	chr20:61447596	chr20:61472511	0.62
TCFL5	20648	chr20:61472467	chr20:61493115	0.49
DIDO1	60214	chr20:61509090	chr20:61569304	0.49
GID8	7525	chr20:61569471	chr20:61576996	0.49
SLC17A9	15897	chr20:61584052	chr20:61599949	0.62
BHLHE23	1056	chr20:61637331	chr20:61638387	0.74
RP11-305P22.9	75688	chr20:61640735	chr20:61716423	0.55
LINC00029	2811	chr20:61665569	chr20:61668380	0.59
LINC01056	15852	chr20:61669363	chr20:61685215	0.53
HAR1B	6826	chr20:61726845	chr20:61733671	0.57
HAR1A	2255	chr20:61733483	chr20:61735738	0.64
RP5-963E22.5	1964	chr20:61758847	chr20:61760811	0.53
RP5-963E22.4	14106	chr20:61798149	chr20:61812255	0.64
YTHDF1	20805	chr20:61826781	chr20:61847586	0.49
BIRC7	4624	chr20:61867235	chr20:61871859	0.64
NKAIN4	31910	chr20:61872136	chr20:61904046	0.60
ARFGAP1	17005	chr20:61904137	chr20:61921142	0.60
COL20A1	41665	chr20:61924538	chr20:61966203	0.60
CHRNA4	34333	chr20:61975420	chr20:62009753	0.63
RP11-261N11.8	11189	chr20:61991340	chr20:62002529	0.63
KCNQ2	66451	chr20:62037542	chr20:62103993	0.62
RP11-358D14.2	1278	chr20:62079404	chr20:62080682	0.60
EEF1A2	11139	chr20:62119366	chr20:62130505	0.63
RP4-697K14.3	2824	chr20:62133640	chr20:62136464	0.57
PPDPF	1482	chr20:62152077	chr20:62153559	0.71
PTK6	8945	chr20:62159778	chr20:62168723	0.63
SRMS	6694	chr20:62172163	chr20:62178857	0.64
C20orf195	3688	chr20:62184373	chr20:62188061	0.65
HELZ2	16153	chr20:62189439	chr20:62205592	0.66
GMEB2	39439	chr20:62218955	chr20:62258394	0.53
CTD-3184A7.4	1597	chr20:62258580	chr20:62260177	0.62
STMN3	13719	chr20:62271061	chr20:62284780	0.60
RTEL1	39253	chr20:62289163	chr20:62328416	0.60
RTEL1-TNFRSF6B	39384	chr20:62290653	chr20:62330037	0.60
TNFRSF6B	2016	chr20:62328021	chr20:62330037	0.65
ARFRP1	9381	chr20:62329996	chr20:62339377	0.62
ZGPAT	28677	chr20:62338817	chr20:62367494	0.50
RP4-583P15.15	30240	chr20:62340216	chr20:62370456	0.50
LIME1	3641	chr20:62366815	chr20:62370456	0.68
RP4-583P15.14	2128	chr20:62369623	chr20:62371751	0.76
SLC2A4RG	3644	chr20:62371214	chr20:62374858	0.69
ZBTB46	87578	chr20:62375019	chr20:62462597	0.54
RP4-583P15.10	1269	chr20:62376042	chr20:62377311	0.57
RP4-583P15.11	8445	chr20:62439429	chr20:62447874	0.55
AL158091.1	494	chr20:62474779	chr20:62475273	0.64
ABHD16B	1775	chr20:62492566	chr20:62494341	0.68
C20ORF135	338	chr20:62492879	chr20:62493217	0.72
TPD52L2	26302	chr20:62496596	chr20:62522898	0.54
DNAJC5	40866	chr20:62526518	chr20:62567384	0.51
UCKL1	16583	chr20:62571186	chr20:62587769	0.63
AL118506.1	488	chr20:62585007	chr20:62585495	0.57
ZNF512B	92058	chr20:62588055	chr20:62680113	0.55
SAMD10	5895	chr20:62605466	chr20:62611361	0.62
PRPF6	51965	chr20:62612488	chr20:62664453	0.51
LINC00176	5618	chr20:62665697	chr20:62671315	0.63
SOX18	1918	chr20:62679076	chr20:62680994	0.72
TCEA2	22511	chr20:62681189	chr20:62703700	0.62
RP13-152O15.5	281	chr20:62688156	chr20:62688437	0.63
RGS19	6789	chr20:62704534	chr20:62711323	0.63
OPRL1	20470	chr20:62711526	chr20:62731996	0.60
C20orf201	979	chr20:62714733	chr20:62715712	0.75
NPBWR2	1351	chr20:62737173	chr20:62738524	0.63
MYT1	90460	chr20:62783144	chr20:62873604	0.55
PCMTD2	39761	chr20:62887094	chr20:62926855	0.47
MIR1302-2	1558	chr19:71161	chr19:72719	0.49
FAM138F	1470	chr19:76220	chr19:77690	0.51
OR4F17	4225	chr19:107471	chr19:111696	0.32
AC016626.2	15304	chr19:159361	chr19:174665	0.38
AC092192.1	1006	chr19:176907	chr19:177913	0.35
PPAP2C	10353	chr19:281040	chr19:291393	0.55
CTD-3113P16.5	894	chr19:305573	chr19:306467	0.66
MIER2	39223	chr19:305575	chr19:344798	0.54
THEG	14263	chr19:361750	chr19:376013	0.55
AC010641.1	1352	chr19:397589	chr19:398941	0.60
C2CD4C	3701	chr19:405438	chr19:409139	0.68
SHC2	44413	chr19:416583	chr19:460996	0.59
ODF3L2	11637	chr19:463346	chr19:474983	0.59
MADCAM1	16171	chr19:489176	chr19:505347	0.61
AC005775.2	17767	chr19:490046	chr19:507813	0.60
TPGS1	12355	chr19:507299	chr19:519654	0.62
CDC34	10383	chr19:531714	chr19:542097	0.65
GZMM	5885	chr19:544034	chr19:549919	0.61
AC009005.2	5003	chr19:567212	chr19:572215	0.54
BSG	12196	chr19:571297	chr19:583493	0.63
HCN2	27266	chr19:589893	chr19:617159	0.63
AC005559.2	1273	chr19:615886	chr19:617159	0.78
POLRMT	16374	chr19:617223	chr19:633597	0.61
LLNLR-299G3.1	463	chr19:623519	chr19:623982	0.59
AC004449.6	432	chr19:637105	chr19:637537	0.53
FGF22	3824	chr19:639879	chr19:643703	0.68
RNF126	15751	chr19:647526	chr19:663277	0.64
AC004156.3	4581	chr19:663482	chr19:668063	0.58
FSTL3	6993	chr19:676392	chr19:683385	0.65
PRSS57	9939	chr19:685521	chr19:695460	0.57
PALM	39376	chr19:708953	chr19:748329	0.60
MISP	13193	chr19:751126	chr19:764319	0.57
AC006273.4	860	chr19:781002	chr19:781862	0.57
AC006273.5	2325	chr19:782755	chr19:785080	0.54
AC006273.7	387	chr19:786650	chr19:787037	0.46
PTBP1	15252	chr19:797075	chr19:812327	0.61
LPPR3	9449	chr19:812518	chr19:821967	0.61
AZU1	6920	chr19:825097	chr19:832017	0.59
PRTN3	7212	chr19:840963	chr19:848175	0.58
ELANE	5228	chr19:851014	chr19:856242	0.59
CFD	4000	chr19:859453	chr19:863453	0.67
MED16	25256	chr19:867962	chr19:893218	0.63
R3HDM4	16737	chr19:896503	chr19:913240	0.59
KISS1R	3728	chr19:917287	chr19:921015	0.70
ARID3A	50158	chr19:925781	chr19:975939	0.59
AC005391.2	560	chr19:928257	chr19:928817	0.61
WDR18	11395	chr19:983174	chr19:994569	0.62
AC004528.1	351	chr19:999601	chr19:999952	0.55
AC004528.4	2961	chr19:999795	chr19:1002756	0.65
GRIN3B	9313	chr19:1000418	chr19:1009731	0.65
TMEM259	11470	chr19:1009647	chr19:1021117	0.66
CNN2	12770	chr19:1026298	chr19:1039068	0.60
AC011558.5	337	chr19:1038726	chr19:1039063	0.58
ABCA7	25469	chr19:1040102	chr19:1065571	0.60
HMHA1	20705	chr19:1065922	chr19:1086627	0.62
POLR2E	9004	chr19:1086594	chr19:1095598	0.62
GPX4	2851	chr19:1103936	chr19:1106787	0.70
SBNO2	66646	chr19:1107636	chr19:1174282	0.63
STK11	39022	chr19:1189406	chr19:1228428	0.58
C19orf26	9740	chr19:1228286	chr19:1238026	0.70
AC004221.2	1343	chr19:1238178	chr19:1239521	0.60
ATP5D	3075	chr19:1241749	chr19:1244824	0.63
MIDN	10590	chr19:1248552	chr19:1259142	0.66
CIRBP	15495	chr19:1259384	chr19:1274879	0.63
CIRBP-AS1	2075	chr19:1268165	chr19:1270240	0.66
C19orf24	4222	chr19:1275026	chr19:1279248	0.65
MUM1	92540	chr19:1285890	chr19:1378430	0.56
EFNA2	15277	chr19:1286153	chr19:1301430	0.63
AC005330.2	1639	chr19:1321224	chr19:1322863	0.60
AC004623.2	747	chr19:1376772	chr19:1377519	0.59
NDUFS7	12057	chr19:1383526	chr19:1395583	0.60
AC005329.7	4297	chr19:1392169	chr19:1396466	0.63
GAMT	4478	chr19:1397091	chr19:1401569	0.64
DAZAP1	28151	chr19:1407568	chr19:1435719	0.59
RPS15	2225	chr19:1438358	chr19:1440583	0.63
AC027307.3	1099	chr19:1440838	chr19:1441937	0.57
APC2	26943	chr19:1446300	chr19:1473243	0.64
C19orf25	18413	chr19:1461142	chr19:1479555	0.63
PCSK4	9324	chr19:1481427	chr19:1490751	0.62
CTB-25B13.6	738	chr19:1484535	chr19:1485273	0.50
REEP6	6761	chr19:1491165	chr19:1497926	0.61
ADAMTSL5	8586	chr19:1505017	chr19:1513603	0.61
CTB-25B13.9	581	chr19:1508381	chr19:1508962	0.57
PLK5	11382	chr19:1524073	chr19:1535455	0.61
MEX3D	13389	chr19:1554668	chr19:1568057	0.60
AC005943.5	1879	chr19:1573595	chr19:1575474	0.56
MBD3	16243	chr19:1576639	chr19:1592882	0.58
UQCR11	27106	chr19:1578338	chr19:1605444	0.56
TCF3	43313	chr19:1609291	chr19:1652604	0.60
AC005256.1	689	chr19:1748055	chr19:1748744	0.67
ONECUT3	28615	chr19:1752372	chr19:1780987	0.59
ATP8B3	30201	chr19:1782074	chr19:1812275	0.58
CTB-31O20.3	624	chr19:1815248	chr19:1815872	0.64
REXO1	33204	chr19:1815248	chr19:1848452	0.61
CTB-31O20.6	1223	chr19:1852398	chr19:1853621	0.63
KLF16	11168	chr19:1852399	chr19:1863567	0.65
CTB-31O20.8	1769	chr19:1860249	chr19:1862018	0.62
CTB-31O20.2	1287	chr19:1874881	chr19:1876168	0.56
CTB-31O20.9	976	chr19:1875015	chr19:1875991	0.55
ABHD17A	8737	chr19:1876809	chr19:1885546	0.65
SCAMP4	20803	chr19:1905213	chr19:1926016	0.60
ADAT3	8067	chr19:1905377	chr19:1913444	0.60
CSNK1G2	40149	chr19:1941188	chr19:1981337	0.61
CSNK1G2-AS1	2055	chr19:1952530	chr19:1954585	0.63
BTBD2	49433	chr19:1985447	chr19:2034880	0.55
AC005306.3	969	chr19:1989400	chr19:1990369	0.63
MKNK2	13773	chr19:2037470	chr19:2051243	0.64
MOB3A	25635	chr19:2071037	chr19:2096672	0.56
IZUMO4	3212	chr19:2096380	chr19:2099592	0.66
AP3D1	63476	chr19:2100988	chr19:2164464	0.56
DOT1L	68429	chr19:2164148	chr19:2232577	0.59
AC004490.1	3536	chr19:2212028	chr19:2215564	0.59
PLEKHJ1	7701	chr19:2230002	chr19:2237703	0.61
SF3A2	12158	chr19:2236520	chr19:2248678	0.59
AMH	2764	chr19:2249308	chr19:2252072	0.72
JSRP1	17507	chr19:2252251	chr19:2269758	0.55
OAZ1	4002	chr19:2269485	chr19:2273487	0.64
C19orf35	7550	chr19:2274631	chr19:2282181	0.60
LINGO3	18382	chr19:2289774	chr19:2308156	0.59
LSM7	7103	chr19:2321516	chr19:2328619	0.58
LLfos-48D6.1	2226	chr19:2352574	chr19:2354800	0.66
TMPRSS9	36468	chr19:2389769	chr19:2426237	0.53
TIMM13	2270	chr19:2425622	chr19:2427892	0.65
LMNB2	29358	chr19:2427636	chr19:2456994	0.60
AC005624.2	3250	chr19:2458933	chr19:2462183	0.54
GADD45B	2137	chr19:2476120	chr19:2478257	0.60
GNG7	191490	chr19:2511217	chr19:2702707	0.52
CTC-265F19.3	895	chr19:2631952	chr19:2632847	0.49
DIRAS1	6851	chr19:2714565	chr19:2721416	0.61
AC006538.4	22279	chr19:2717767	chr19:2740046	0.60
SLC39A3	7948	chr19:2732202	chr19:2740150	0.58
SGTA	28657	chr19:2754712	chr19:2783369	0.58
THOP1	28141	chr19:2785458	chr19:2813599	0.59
ZNF554	15899	chr19:2819872	chr19:2835771	0.51
ZNF555	19049	chr19:2841433	chr19:2860482	0.46
AC006130.3	11489	chr19:2847225	chr19:2858714	0.43
ZNF556	11182	chr19:2867333	chr19:2878515	0.48
ZNF57	17578	chr19:2900896	chr19:2918474	0.46
AC006277.2	11661	chr19:2915144	chr19:2926805	0.46
ZNF77	11753	chr19:2933216	chr19:2944969	0.50
TLE6	17733	chr19:2977444	chr19:2995177	0.54
TLE2	49997	chr19:2997636	chr19:3047633	0.55
AC005944.2	814	chr19:3052908	chr19:3053722	0.54
AES	10197	chr19:3052908	chr19:3063105	0.60
GNA11	29594	chr19:3094408	chr19:3124002	0.62
AC005262.3	639	chr19:3118663	chr19:3119302	0.65
AC005262.2	1012	chr19:3121114	chr19:3122126	0.59
GNA15	27576	chr19:3136191	chr19:3163767	0.53
AC005264.2	13599	chr19:3141574	chr19:3155173	0.54
S1PR4	7985	chr19:3172344	chr19:3180329	0.63
NCLN	24012	chr19:3185561	chr19:3209573	0.61
CELF5	72373	chr19:3224701	chr19:3297074	0.53
AC010649.1	6238	chr19:3296763	chr19:3303001	0.48
NFIC	109654	chr19:3359561	chr19:3469215	0.56
C19orf77	6135	chr19:3474405	chr19:3480540	0.55
DOHH	10119	chr19:3490819	chr19:3500938	0.57
FZR1	32057	chr19:3506271	chr19:3538328	0.61
MFSD12	36029	chr19:3538259	chr19:3574288	0.57
C19orf71	4876	chr19:3539152	chr19:3544028	0.56
AC005786.7	13370	chr19:3544197	chr19:3557567	0.60
AC005786.5	471	chr19:3558013	chr19:3558484	0.56
HMG20B	6311	chr19:3572775	chr19:3579086	0.65
GIPC3	7988	chr19:3585551	chr19:3593539	0.58
TBXA2R	12334	chr19:3594504	chr19:3606838	0.56
CACTIN-AS1	6683	chr19:3607245	chr19:3613928	0.63
CACTIN	16174	chr19:3610639	chr19:3626813	0.62
PIP5K1C	70296	chr19:3630181	chr19:3700477	0.61
AC004637.1	1713	chr19:3672580	chr19:3674293	0.64
TJP3	42704	chr19:3708107	chr19:3750811	0.54
APBA3	10880	chr19:3750817	chr19:3761697	0.57
AC005954.4	2677	chr19:3753838	chr19:3756515	0.55
MRPL54	5911	chr19:3762662	chr19:3768573	0.56
RAX2	3146	chr19:3769087	chr19:3772233	0.64
MATK	24156	chr19:3777971	chr19:3802127	0.54
ZFR2	65008	chr19:3804022	chr19:3869030	0.54
ATCAY	48215	chr19:3879862	chr19:3928077	0.52
NMRK2	9313	chr19:3933101	chr19:3942414	0.58
DAPK3	12670	chr19:3958451	chr19:3971121	0.58
EEF2	9413	chr19:3976054	chr19:3985467	0.60
PIAS4	31740	chr19:4007644	chr19:4039384	0.59
AC016586.1	2027	chr19:4041127	chr19:4043154	0.59
ZBTB7A	22581	chr19:4044362	chr19:4066943	0.62
MAP2K2	33807	chr19:4090319	chr19:4124126	0.57
CREB3L3	19453	chr19:4153598	chr19:4173051	0.53
SIRT6	8495	chr19:4174106	chr19:4182601	0.58
ANKRD24	41460	chr19:4183351	chr19:4224811	0.54
EBI3	8033	chr19:4229495	chr19:4237528	0.54
CCDC94	22011	chr19:4247076	chr19:4269087	0.53
SHD	12123	chr19:4278598	chr19:4290721	0.55
TMIGD2	10199	chr19:4292229	chr19:4302428	0.54
FSD1	19243	chr19:4304597	chr19:4323840	0.55
STAP2	18743	chr19:4324040	chr19:4342783	0.54
AC007292.7	3914	chr19:4339574	chr19:4343488	0.51
MPND	16559	chr19:4343524	chr19:4360083	0.56
AC007292.4	6813	chr19:4347241	chr19:4354054	0.52
AC007292.3	1811	chr19:4356634	chr19:4358445	0.60
SH3GL1	40177	chr19:4360367	chr19:4400544	0.57
AC007292.6	851	chr19:4363786	chr19:4364637	0.59
CHAF1A	42356	chr19:4402659	chr19:4445015	0.51
CTB-50L17.5	1245	chr19:4429686	chr19:4430931	0.55
UBXN6	12823	chr19:4444996	chr19:4457819	0.60
CTB-50L17.7	913	chr19:4447301	chr19:4448214	0.64
CTB-50L17.9	1272	chr19:4454011	chr19:4455283	0.59
CTB-50L17.16	13531	chr19:4457959	chr19:4471490	0.48
HDGFRP2	29939	chr19:4472284	chr19:4502223	0.57
PLIN4	15512	chr19:4502204	chr19:4517716	0.59
PLIN5	12693	chr19:4522543	chr19:4535236	0.55
CTB-50L17.14	11640	chr19:4528439	chr19:4540079	0.55
LRG1	4065	chr19:4536421	chr19:4540486	0.55
SEMA6B	17220	chr19:4542600	chr19:4559820	0.58
TNFAIP8L1	16050	chr19:4639530	chr19:4655580	0.56
C19orf10	28996	chr19:4641386	chr19:4670382	0.55
AC005339.2	560	chr19:4654976	chr19:4655536	0.51
DPP9	49449	chr19:4675236	chr19:4724685	0.57
AC005594.3	6666	chr19:4679294	chr19:4685960	0.59
MIR7-3HG	3428	chr19:4769117	chr19:4772545	0.52
AC005523.3	6087	chr19:4785132	chr19:4791219	0.48
FEM1A	3843	chr19:4791728	chr19:4795571	0.60
AC005523.2	3814	chr19:4791757	chr19:4795571	0.60
TICAM1	15772	chr19:4815944	chr19:4831716	0.52
CTC-518P12.6	575	chr19:4838344	chr19:4838919	0.48
PLIN3	29427	chr19:4838353	chr19:4867780	0.52
ARRDC5	12430	chr19:4890449	chr19:4902879	0.50
KDM4B	184481	chr19:4969125	chr19:5153606	0.57
PTPRS	182308	chr19:5158506	chr19:5340814	0.52
CTC-482H14.5	345	chr19:5178130	chr19:5178475	0.52
ZNRF4	1441	chr19:5455426	chr19:5456867	0.65
TINCR	9867	chr19:5558178	chr19:5568045	0.56
SAFB2	37047	chr19:5587010	chr19:5624057	0.49
SAFB	45443	chr19:5623046	chr19:5668489	0.47
RPL36	16929	chr19:5674958	chr19:5691887	0.59
C19orf70	2475	chr19:5678432	chr19:5680907	0.61
HSD11B1L	7918	chr19:5680615	chr19:5688533	0.58
LONP1	28738	chr19:5691845	chr19:5720583	0.58
CATSPERD	58057	chr19:5720688	chr19:5778745	0.49
PRR22	1805	chr19:5782971	chr19:5784776	0.67
CTB-54O9.9	1614	chr19:5784016	chr19:5785630	0.65
DUS3L	6406	chr19:5784843	chr19:5791249	0.62
NRTN	4522	chr19:5823813	chr19:5828335	0.62
FUT6	9121	chr19:5830621	chr19:5839742	0.54
FUT3	8586	chr19:5842899	chr19:5851485	0.52
AC024592.9	10772	chr19:5847478	chr19:5858250	0.50
FUT5	37961	chr19:5865837	chr19:5903798	0.55
AC024592.12	37616	chr19:5866182	chr19:5903798	0.55
NDUFA11	12730	chr19:5891287	chr19:5904017	0.59
AC104532.3	1616	chr19:5899906	chr19:5901522	0.53
AC104532.2	9866	chr19:5904852	chr19:5914718	0.54
VMAC	5995	chr19:5904869	chr19:5910864	0.53
AC104532.4	2321	chr19:5911589	chr19:5913910	0.53
CAPS	4170	chr19:5911718	chr19:5915888	0.59
RANBP3	62003	chr19:5916150	chr19:5978153	0.53
CTC-232P5.1	41960	chr19:5978414	chr19:6020374	0.53
RFX2	206408	chr19:5993175	chr19:6199583	0.48
CTC-232P5.3	9166	chr19:6067964	chr19:6077130	0.49
CTB-66B24.1	16475	chr19:6109333	chr19:6125808	0.48
ACSBG2	57854	chr19:6135258	chr19:6193112	0.46
CTC-503J8.6	2102	chr19:6210390	chr19:6212492	0.60
MLLT1	66993	chr19:6212966	chr19:6279959	0.55
CTC-503J8.4	642	chr19:6259168	chr19:6259810	0.55
ACER1	27487	chr19:6306153	chr19:6333640	0.50
CTB-180A7.3	18388	chr19:6343772	chr19:6362160	0.50
CLPP	7456	chr19:6361463	chr19:6368919	0.54
ALKBH7	2598	chr19:6372444	chr19:6375042	0.65
PSPN	3910	chr19:6375159	chr19:6379069	0.58
GTF2F1	14412	chr19:6379580	chr19:6393992	0.55
CTB-180A7.8	18595	chr19:6393820	chr19:6412415	0.50
KHSRP	11446	chr19:6413359	chr19:6424805	0.59
SLC25A41	7742	chr19:6426048	chr19:6433790	0.51
SLC25A23	29124	chr19:6436090	chr19:6465214	0.53
CRB3	3444	chr19:6463788	chr19:6467232	0.60
DENND1C	15350	chr19:6467218	chr19:6482568	0.56
TUBB4A	8529	chr19:6494330	chr19:6502859	0.56
CTD-2396E7.10	705	chr19:6494331	chr19:6495036	0.54
CTD-2396E7.9	485	chr19:6494331	chr19:6494816	0.55
TNFSF9	4921	chr19:6531010	chr19:6535931	0.59
CD70	20920	chr19:6583194	chr19:6604114	0.48
TNFSF14	7451	chr19:6663148	chr19:6670599	0.52
C3	52858	chr19:6677715	chr19:6730573	0.51
GPR108	7689	chr19:6729925	chr19:6737614	0.60
TRIP10	13601	chr19:6737936	chr19:6751537	0.54
CTD-3128G10.6	3174	chr19:6748304	chr19:6751478	0.51
SH2D3A	15428	chr19:6752171	chr19:6767599	0.52
VAV1	84652	chr19:6772725	chr19:6857377	0.47
EMR1	52893	chr19:6887577	chr19:6940470	0.44
RP11-1137G4.3	1693	chr19:6953222	chr19:6954915	0.42
AC025278.1	1824	chr19:7011514	chr19:7013338	0.54
CTB-25J19.1	2131	chr19:7019311	chr19:7021442	0.46
MBD3L5	2433	chr19:7030589	chr19:7033022	0.48
MBD3L4	2431	chr19:7037759	chr19:7040190	0.48
MBD3L2	2414	chr19:7049332	chr19:7051746	0.47
MBD3L3	2431	chr19:7056220	chr19:7058651	0.48
ZNF557	18524	chr19:7069455	chr19:7087979	0.46
CTB-25J19.9	916	chr19:7087063	chr19:7087979	0.42
INSR	181779	chr19:7112266	chr19:7294045	0.47
CTB-133G6.1	34423	chr19:7413848	chr19:7448271	0.51
CTD-2207O23.3	89281	chr19:7445850	chr19:7535131	0.51
CTB-133G6.2	4517	chr19:7455408	chr19:7459925	0.52
ARHGEF18	77364	chr19:7459999	chr19:7537363	0.51
PEX11G	20574	chr19:7541761	chr19:7562335	0.53
C19orf45	15474	chr19:7557862	chr19:7573336	0.54
CTD-2207O23.12	12570	chr19:7571938	chr19:7584508	0.53
ZNF358	5734	chr19:7580178	chr19:7585912	0.61
CTD-2207O23.11	544	chr19:7584802	chr19:7585346	0.70
MCOLN1	11383	chr19:7587512	chr19:7598895	0.57
CTD-2207O23.10	6464	chr19:7598481	chr19:7604945	0.56
PNPLA6	27760	chr19:7598890	chr19:7626650	0.56
CAMSAP3	22402	chr19:7660788	chr19:7683190	0.59
XAB2	10040	chr19:7684411	chr19:7694451	0.61
PET100	2219	chr19:7694623	chr19:7696842	0.56
CTD-3214H19.4	13252	chr19:7694682	chr19:7707934	0.58
PCP2	2137	chr19:7696497	chr19:7698634	0.61
CTD-3214H19.6	3224	chr19:7698652	chr19:7701876	0.54
STXBP2	10992	chr19:7701767	chr19:7712759	0.61
RETN	1404	chr19:7733930	chr19:7735334	0.63
C19orf59	3198	chr19:7741514	chr19:7744712	0.55
CTD-3214H19.16	4353	chr19:7743387	chr19:7747740	0.61
TRAPPC5	2015	chr19:7745729	chr19:7747744	0.67
FCER2	13388	chr19:7753644	chr19:7767032	0.54
CLEC4G	4949	chr19:7793843	chr19:7798792	0.58
CD209	7585	chr19:7804879	chr19:7812464	0.53
CLEC4M	6456	chr19:7828035	chr19:7834491	0.53
EVI5L	34743	chr19:7895119	chr19:7929862	0.58
CTD-3193O13.9	5721	chr19:7933605	chr19:7939326	0.68
CTD-3193O13.11	735	chr19:7935447	chr19:7936182	0.64
LRRC8E	13511	chr19:7953390	chr19:7966901	0.55
AC010336.1	4738	chr19:7963689	chr19:7968427	0.57
MAP2K7	10635	chr19:7968728	chr19:7979363	0.63
CTD-3193O13.13	870	chr19:7977533	chr19:7978403	0.64
TGFBR3L	2952	chr19:7981030	chr19:7983982	0.67
CTD-3193O13.1	505	chr19:7983537	chr19:7984042	0.63
SNAPC2	2934	chr19:7985201	chr19:7988135	0.64
CTXN1	1679	chr19:7989372	chr19:7991051	0.75
CTD-3193O13.8	762	chr19:7990886	chr19:7991648	0.70
TIMM44	17202	chr19:7991603	chr19:8008805	0.56
ELAVL1	47080	chr19:8023463	chr19:8070543	0.52
CTD-3193O13.14	889	chr19:8024007	chr19:8024896	0.43
CTD-2325M2.1	7296	chr19:8073613	chr19:8080909	0.47
CCL25	9883	chr19:8117651	chr19:8127534	0.50
FBN3	84444	chr19:8130286	chr19:8214730	0.53
CERS4	55685	chr19:8271620	chr19:8327305	0.53
CTD-3020H12.4	17495	chr19:8287037	chr19:8304532	0.50
CD320	6229	chr19:8367011	chr19:8373240	0.58
NDUFA7	13096	chr19:8373167	chr19:8386263	0.52
RPS28	2182	chr19:8386042	chr19:8388224	0.57
KANK3	20678	chr19:8387468	chr19:8408146	0.55
ANGPTL4	11084	chr19:8428173	chr19:8439257	0.56
RAB11B-AS1	16312	chr19:8439257	chr19:8455569	0.49
RAB11B	14453	chr19:8454865	chr19:8469318	0.59
MARCH2	25747	chr19:8478154	chr19:8503901	0.51
RP11-886P16.6	4472	chr19:8488239	chr19:8492711	0.52
HNRNPM	44347	chr19:8509651	chr19:8553998	0.47
PRAM1	13056	chr19:8554940	chr19:8567996	0.57
ZNF414	3586	chr19:8575462	chr19:8579048	0.65
MYO1F	56787	chr19:8585674	chr19:8642461	0.53
AC092316.1	633	chr19:8614390	chr19:8615023	0.50
ADAMTS10	30494	chr19:8645126	chr19:8675620	0.55
AC130469.2	1555	chr19:8646044	chr19:8647599	0.49
CTD-2586B10.1	7982	chr19:8740121	chr19:8748103	0.50
ACTL9	1421	chr19:8807751	chr19:8809172	0.66
OR2Z1	1055	chr19:8841316	chr19:8842371	0.54
ZNF558	22624	chr19:8920380	chr19:8943004	0.45
CTD-2529P6.3	2609	chr19:8932177	chr19:8934786	0.57
MBD3L1	10942	chr19:8943074	chr19:8954016	0.45
MUC16	132498	chr19:8959520	chr19:9092018	0.46
OR1M1	1034	chr19:9203855	chr19:9204889	0.54
OR7G2	1037	chr19:9212945	chr19:9213982	0.47
OR7G1	1165	chr19:9225274	chr19:9226439	0.46
OR7G3	938	chr19:9236688	chr19:9237626	0.48
ZNF317	23044	chr19:9251056	chr19:9274100	0.44
OR7D2	3214	chr19:9296279	chr19:9299493	0.44
OR7D4	1016	chr19:9324526	chr19:9325542	0.52
OR7E24	1214	chr19:9361606	chr19:9362820	0.46
CTC-325H20.4	2967	chr19:9402191	chr19:9405158	0.40
ZNF699	15563	chr19:9404951	chr19:9420514	0.43
ZNF559	27390	chr19:9434448	chr19:9461838	0.40
ZNF559-ZNF177	58443	chr19:9434850	chr19:9493293	0.40
ZNF177	58272	chr19:9435021	chr19:9493293	0.40
CTC-325H20.2	1114	chr19:9455460	chr19:9456574	0.32
ZNF266	22982	chr19:9523272	chr19:9546254	0.45
ZNF560	32100	chr19:9577183	chr19:9609283	0.43
CTC-543D15.3	11401	chr19:9609354	chr19:9620755	0.41
ZNF426	10636	chr19:9638667	chr19:9649303	0.45
ZNF121	24180	chr19:9671029	chr19:9695209	0.42
ZNF561	16719	chr19:9715356	chr19:9732075	0.45
C19orf82	24605	chr19:9731967	chr19:9756572	0.45
ZNF562	26446	chr19:9759330	chr19:9785776	0.43
ZNF812	10852	chr19:9800600	chr19:9811452	0.43
CTD-3116E22.7	1090	chr19:9841529	chr19:9842619	0.46
ZNF846	41187	chr19:9862669	chr19:9903856	0.46
CTD-2623N2.5	8680	chr19:9904297	chr19:9912977	0.46
FBXL12	17549	chr19:9920943	chr19:9938492	0.51
UBL5	2223	chr19:9938568	chr19:9940791	0.52
CTD-2623N2.11	934	chr19:9944755	chr19:9945689	0.52
PIN1	14425	chr19:9945933	chr19:9960358	0.56
OLFM2	82834	chr19:9964394	chr19:10047228	0.51
COL5A3	50910	chr19:10070237	chr19:10121147	0.52
CTD-2553C6.1	1166	chr19:10106673	chr19:10107839	0.56
RDH8	9030	chr19:10123925	chr19:10132955	0.51
C19orf66	7130	chr19:10196798	chr19:10203928	0.57
CTD-2240E14.4	1345	chr19:10199708	chr19:10201053	0.56
